title,url,vendor,topic,sockets,contains
AMDESE linux-svsm,https://github.com/AMDESE/linux-svsm,AMD,arch,1P/2P,"Opened GitHub: leftover AMDESE SNP Secure VM Service Module (Rust, VMPL0/VMPL1, GHCB). EPYC SEV-SNP firmware-adjacent; not in existing AMDSEV/sev-guest set."
AMDESE rasdaemon,https://github.com/AMDESE/rasdaemon,AMD,arch,1P/2P,Opened GitHub: remaining AMDESE RAS repo. EDAC tracing userspace logger for ECC/MCA memory-controller errors on x86_64 including EPYC. Distinct from existing elves/epyc-feature-doc.
AMDESE sev-guest,https://github.com/AMDESE/sev-guest,AMD,arch,1P/2P,Deprecated SEV-SNP guest attestation example tools/scripts. README points to VirTEE snpguest. AMDESE/AMDSEV-ES repo does not exist as a separate project.
AMDESE sev-tool,https://github.com/AMDESE/sev-tool,AMD,arch,1P/2P,"Deprecated AMD SEV platform-owner tool (VCEK/attestation). README points to VirTEE sevctl/snphost replacements. EPYC SEV firmware notes, not pinout."
Balanced Memory Configurations with 2nd Gen and 3rd Gen AMD EPYC Processors,https://docs.amd.com/v/u/en-US/Balanced-Memory-Configurations-with-2nd-Gen-and-3rd-Gen-AMD-EPYC-Processors,AMD,arch,1P/2P,"Public hub page for balanced memory configs on 7002/7003; Document ID 70565. Page states visit partner site; khub content is a 1.3 KB stub PDF, not a full design guide."
Dynamic Root of Trust Measurement (DRTM) Service Integration Guide (58453),https://docs.amd.com/v/u/en-US/58453,AMD,arch,1P/2P,Public DRTM service integration guide; Document ID 58453 Rev 1.0 (2024-10-29). Hub content API returned application/pdf without login.
Memory Population Guidelines for AMD EPYC 7003 Series Processors (PUB) (56873),https://docs.amd.com/v/u/en-US/56873_1.00_MemPop_Milan_PUB,AMD,arch,1P/2P,Public Milan/7003 DIMM population guidelines; Document ID 56873 Rev 1.00 PUB English (2023-04-28); isSecure false.
Memory Population Guidelines for AMD EPYC Processors (PUB) (56301),https://docs.amd.com/v/u/en-US/56301-memory-population-guidelines-epyc-processors,AMD,arch,1P/2P,Public memory population guidelines for EPYC processors; Document ID 56301 Rev 1.10 PUB English (2018-09-01).
Micron 9300 MAX NVMe SSDs and Red Hat Ceph Storage Architecture (70496),https://docs.amd.com/v/u/en-US/st-micron-9300-ceph-amd-epyc-reference-architecture,AMD,arch,1P/2P,Ceph reference architecture with Micron 9300 MAX NVMe on EPYC; Document ID 70496 (2020-02-26).
NUMA Topology for AMD EPYC Naples Family Processors,https://docs.amd.com/v/u/en-US/NUMA-Topology-for-AMD-EPYC-Naples-Family-Processors,AMD,arch,1P/2P,NUMA topology document for EPYC 7001 Naples; hub PDF filename 56308_0.70_NUMA_Naples.pdf.
Overview of AMD EPYC 7003 Series Processors Microarchitecture (70619),https://docs.amd.com/v/u/en-US/overview-amd-epyc7003-series-processors-microarchitecture,AMD,arch,1P/2P,Microarchitecture overview for EPYC 7003 (Milan); Document ID 70619 (2022-03-21).
PPR for AMD Family 17h Models 00h-0Fh Processors (54945) Rev 1.14,"https://raw.githubusercontent.com/tpn/pdfs/master/AMD%20-%20Preliminary%20Processor%20Programming%20Reference%20(PPR)%20for%20AMD%20Family%2017h%20Models%2000h-0Fh%20Processors%20-%20Rev%201.14%20-%20April%2015th,%202017%20(54945).pdf",AMD,arch,1P/2P,Naples-era Family 17h Models 00h-0Fh PPR Rev 1.14 Apr 2017; 259-page AMD PDF. docs.amd.com no longer hosts 54945 (hub search only hits 55449 RG already cataloged). Public GitHub mirror of the AMD PPR.
"Processor Programming Reference (PPR) for AMD Family 17h Models 31h, Revision B0 Processors (PUB) (55803)",https://docs.amd.com/v/u/en-US/55803_0.93_pub.pdf,AMD,arch,1P/2P,"Public Rome PPR PDF for Family 17h Models 31h Rev B0; Document ID 55803 Rev 0.93 B0 English (2020-11-02); isSecure false. MSRs/HSMP/IOMMU programming, not a socket land assignment."
"Processor Programming Reference (PPR) for AMD Family 19h Model 01h, Revision B1 Processors (PUB) (55898)",https://docs.amd.com/v/u/en-US/55898_B1_pub_0_50,AMD,arch,1P/2P,Public Milan PPR zip for Family 19h Model 01h Rev B1; Document ID 55898 Rev B1_0.50 PUB English (2021-05-28). Linux amd_hsmp.rst cites this PPR HSMP chapter.
"Processor Programming Reference (PPR) for AMD Family 19h Model 10h-1Fh, Revision A1 Processors (PUB) (55901)",https://docs.amd.com/v/u/en-US/55901,AMD,arch,1P/2P,Public PPR zip for Family 19h Models 10h-1Fh Rev A1 (Genoa-class); Document ID 55901 Rev A1_0.47 PUB English (2024-10-11).
"Processor Programming Reference (PPR) for AMD Family 19h Model A0h, Revision A2 Processors (PUB) (57228)",https://docs.amd.com/v/u/en-US/57228,AMD,arch,1P/2P,Public Bergamo/Siena-class PPR zip for Family 19h Model A0h Rev A2; Document ID 57228 Rev A2_0.45 PUB English (2024-10-11). Hub content API returned application/zip without login.
"Processor Programming Reference (PPR) for AMD Family 1Ah Model 11h, Revision B0 Processors (PUB) (57883)",https://docs.amd.com/v/u/en-US/57883,AMD,arch,1P/2P,Public PPR zip for Family 1Ah Model 11h Rev B0; Document ID 57883 Rev B0_0.51 PUB English (2024-10-11).
"Processor Programming Reference (PPR) for AMD Family 1Ah Models 00h-0Fh, Revision C1 Processors (PUB) (57238)",https://docs.amd.com/v/u/en-US/57238_C1_pub_049,AMD,arch,1P/2P,Public Turin PPR zip for Family 1Ah Models 00h-0Fh Rev C1; Document ID 57238 Rev C1_0.49 PUB English (2026-03-13); isSecure false. Latest public 57238 revision opened; not a pin map.
Protecting VM Register State with SEV-ES (70364),https://docs.amd.com/v/u/en-US/Protecting-VM-Register-State-with-SEV-ES,AMD,arch,1P/2P,Opened hub; khub content application/pdf 585 KB / 8 pages. Kaplan SEV-ES white paper Document ID 70364 (2017-02-17). 703xx leftover; encrypted VMCB/register state. Distinct from existing SEV-SNP 70366 / 58207.
Red Hat Ceph Storage on Micron 7300 MAX NVMe SSDs (70495),https://docs.amd.com/v/u/en-US/st-micron-7300-ceph-amd-epyc-reference-architecture,AMD,arch,1P/2P,Ceph reference architecture with Micron 7300 MAX NVMe on EPYC; Document ID 70495 (2020-02-26).
Revision Guide for AMD Family 17h Models 00h-0Fh Processors (PUB) (55449),https://docs.amd.com/v/u/en-US/55449-PUB-1.21,AMD,arch,1P/2P,Public errata/revision guide covering Naples-era Family 17h Models 00h-0Fh EPYC SP3 plus Ryzen/Threadripper; Document ID 55449-pub Rev 1.21 English (2023-08-31); isSecure false. Not a pin map.
Revision Guide for AMD Family 17h Models 30h–3Fh Processors (PUB) (56323),https://docs.amd.com/v/u/en-US/56323_PUB_1.03_RG_Rome,AMD,arch,1P/2P,Public Rome/EPYC 7002 Family 17h Models 30h-3Fh errata guide; Document ID 56323 Rev 1.03 PUB English (2026-02-27); isSecure false.
Revision Guide for AMD Family 19h Models 00h-0Fh Processors (56683 DAM PDF),https://www.amd.com/content/dam/amd/en/documents/processor-tech-docs/revision-guides/56683.pdf,AMD,arch,1P/2P,"curl 200 application/pdf (359708 bytes, PDF 1.6): public Milan/EPYC 7003 Family 19h Models 00h-0Fh SP3 revision/errata guide. Distinct DAM URL from hub revision guides already cataloged. Not a pin map."
Revision Guide for AMD Family 19h Models 10h-1Fh Processors (PUB) (57095),https://docs.amd.com/v/u/en-US/57095-PUB_1.05,AMD,arch,1P/2P,Public revision/errata guide for Family 19h Models 10h-1Fh; Document ID 57095 Rev 1.05 PUB English (2025-11-11); isSecure false.
Revision Guide for AMD Family 19h Models A0h-AFh Processors (PUB) (57926),https://docs.amd.com/v/u/en-US/57926-PUB_1.05,AMD,arch,1P/2P,Public Bergamo/Siena-class Family 19h Models A0h-AFh errata; covers EPYC 9004 and 8004; Document ID 57926 Rev 1.05 PUB English (2025-11-11); isSecure false.
Revision Guide for AMD Family 1Ah Models 00h-0Fh Processors (PUB) (58251),https://docs.amd.com/v/u/en-US/58251_PUB_1.30,AMD,arch,1P/2P,Public Turin-class Family 1Ah Models 00h-0Fh SP5 errata; Rev 1.30 July 2025; isSecure false; content API PDF 65 pages. CPUID/OSVW/errata vs package and processor segment.
Revision Guide for AMD Family 1Ah Models 10h-1Fh Processors (PUB) (58730),https://docs.amd.com/v/u/en-US/58730_PUB_1.30,AMD,arch,1P/2P,Public Family 1Ah Models 10h-1Fh SP5 errata; Rev 1.30 July 2025; isSecure false; content API PDF 63 pages. Companion to 58251 for remaining 1Ah SP5 models.
Seamless Firmware Servicing (SFS) Specification (PUB) (58604),https://docs.amd.com/v/u/en-US/58604_0.76_SFS_PUB,AMD,arch,1P/2P,"Opened hub; khub content application/pdf 1.05 MB / 41 pages. SFS live firmware-patch spec Pub 58604 Rev 0.76 (Feb 2026): ASP registers, TEE sub-commands, RSA/LMS tokens, co-signing. EPYC ASP/PSP servicing, not SP5 TDG."
Secure Encrypted Virtualization API Technical Preview (PUB) (55766),https://docs.amd.com/v/u/en-US/55766_PUB_3.24_SEV_API,AMD,arch,1P/2P,Opened hub; khub content application/pdf 1.17 MB / 122 pages. SEV-KM API spec Pub 55766 Rev 3.24 (Apr 2020). Firmware mailbox/key-management ABI for EPYC SEV; not a pin map.
Secure VM Service Module for SEV-SNP Guests (PUB) (58019),https://docs.amd.com/v/u/en-US/58019.pdf,AMD,arch,1P/2P,Opened hub; isSecure false; Document ID 58019 Rev 1.01 PUB English (2026-03-12). SVSM ABI for SEV-SNP guests. Distinct from hub slug 58019-epyc-9004-tg-couchbase (Couchbase 70491).
SEV-SNP Platform Attestation Using VirTEE/SEV (58217),https://docs.amd.com/v/u/en-US/58217_amd-epyc-9004-ug-platform-attestation-using-virtee-snp,AMD,arch,1P/2P,SEV-SNP platform attestation using VirTEE/SEV; Document ID 58217 Rev 1.0 (2023-07-07).
Smart Data Cache Injection (SDCI) White Paper (PUB) (58725),https://docs.amd.com/v/u/en-US/58725_1.05_SDCI_White_Paper,AMD,arch,1P/2P,"Opened hub; isSecure false; khub content application/pdf 1.40 MB / 21 pages. SDCI injects inbound I/O into a CCX L2 via PCIe TPH/steering tags to cut DRAM bandwidth. Document ID 58725 Rev 1.05 PUB (Jul 2026). IOD/cache-injection architecture, not a pin map."
Socket SP3 Platform NUMA Topology for AMD Family 19h Models 00h–0Fh (PUB) (56795),https://docs.amd.com/v/u/en-US/56795_1.00_NUMA_Milan_PUB,AMD,arch,1P/2P,"Public Milan/SP3 NUMA topology (NPS domains, ACPI SRAT); Document ID 56795 Rev 1.00 PUB English (2021-07-30); isSecure false. Socket SP5/SP6 NUMA topology remains login-gated and is not this document."
Speculative Return Stack Overflow Mitigation Options and Considerations for Public Cloud Users (70608),https://docs.amd.com/v/u/en-US/amd-epyc-9004-wp-srso,AMD,arch,1P/2P,SRSO mitigation options/considerations for public-cloud EPYC users; Document ID 70608 (2024-04-22).
Tiered Memory Page Migration Operations Guide (PUB) (58151),https://docs.amd.com/v/u/en-US/58151_PUB_0.50,AMD,arch,1P/2P,Opened hub; isSecure false; khub content application/pdf 622 KB / 33 pages. TMPM engine for CXL/tiered DRAM page migration with concurrent DMA and SNP RMP Pre-Migration state; requires IOMMU. Document ID 58151 Rev 0.51 (May 2023). Not login-gated NUMA; not SP5 TDG.
Using SEV with AMD EPYC Processors (58207),https://docs.amd.com/v/u/en-US/58207-using-sev-with-amd-epyc-processors,AMD,arch,1P/2P,Public SEV/SEV-ES/SEV-SNP enablement white paper covering 7002–9005 including CXL_ALLOW BIOS bit; Document ID 58207 Rev 2.0 (2026-01-26); isSecure false. Closest public 9005 BIOS-security leftover; not an NDA TDG.
VDI Reference Architecture—Citrix Virtual Apps & Desktops on vSAN Ready Nodes with 3rd Gen AMD EPYC Processors,https://docs.amd.com/v/u/en-US/VDI-Reference-Architecture-Citrix-Virtual-Apps-Desktops-on-vSAN-Ready-Nodes-with-3rd-Gen-AMD-EPYC-Processors,AMD,arch,1P/2P,Public hub page for Citrix VDI reference architecture on 3rd Gen EPYC vSAN Ready Nodes; Document ID 70498; page states visit partner site.
Versioned Chip Endorsement Key (VCEK) Certificate and KDS Interface Specification (57230),https://docs.amd.com/v/u/en-US/57230,AMD,arch,1P/2P,Opened hub; khub content application/pdf 1.05 MB / 18 pages. VCEK certificate and Key Distribution Service interface Pub 57230 Rev 1.00 (Jan 2025). SNP attestation leftover; distinct from existing SEV-SNP white paper 70366.
Versioned Loaded Endorsement Key (VLEK) Certificate Definition (PUB) (58369),https://docs.amd.com/v/u/en-US/58369_PUB_0.10_VLEK,AMD,arch,1P/2P,Opened hub; khub content application/pdf 319 KB / 13 pages. VLEK certificate definition Pub 58369 Rev 0.10 (Oct 2023) for SNP cloud-provider loaded endorsement keys. Hub title is PUB; PDF still carries Advance Information watermark. Not login-gated.
NUMA Configuration Settings on AMD EPYC 2nd Generation (70375),https://docs.amd.com/v/u/en-US/dell-emc-dfd-numa-amd-epyc-2ndgen,Dell,arch,1P/2P,"Opened Dell Direct-from-Development NPS note for EPYC 7002: NPS0/1/2/4, CCD/IOD quadrants, 8ch DDR4. Document ID 70375 (2021-10-01). Public NPS leftover; not SP5 NUMA TDG."
The Value of Using Four-Channel Optimized AMD EPYC CPUs in PowerEdge Servers (70374),https://docs.amd.com/v/u/en-US/dell-emc-dfd-advantage-four-channel-memory-poweredge-amd-epyc,Dell,arch,1P/2P,Opened hub; khub content application/pdf 258 KB / 2 pages. Dell DfD: Rome 7002 SKUs (e.g. 7252/7282) with only two of four memory controllers fully populated for 4-channel-optimized DIMM cost. Document ID 70374 (2021-10-01). Public 7002 memory-population leftover; not SP5 NUMA.
Understanding the Value of AMDs Socket to Socket Infinity Fabric (Dell InfoHub DfD),https://infohub.delltechnologies.com/en-us/p/understanding-the-value-of-amds-socket-to-socket-infinity-fabric/,Dell,arch,2P,Opened Dell DfD: xGMI/IF socket-to-socket SERDES that mux as PCIe or xGMI; xGMI2 up to 18Gbps; 3–4 IF links; one x16 IF link can be repurposed for extra PCIe (R7525 128 vs 160 lanes).
Linux amd_memory_encryption.rst,https://raw.githubusercontent.com/torvalds/linux/master/Documentation/arch/x86/amd_memory_encryption.rst,Linux/GitHub,arch,1P/2P,"Kernel doc for SME/SEV on AMD (EPYC-relevant), not platform design."
TIRIAS Research: Second Generation AMD EPYC Processor Enhanced Cache and Memory Architecture,https://tiriasresearch.com/wp-content/uploads/2020/04/TIRIAS_Research-Second_Generation_AMD_EPYC_Processor_Enhanced_Cache_and_Memory_Architecture.pdf,TIRIAS,arch,1P/2P,"Opened 6-page PDF (Feb 2020, AMD-sponsored). 7001 vs 7002 MCM: CCD/IOD hybrid multi-die, Infinity Fabric bandwidth, IOD-mediated memory, NUMA/latency. Public substitute for the missing official 7002 architecture white paper."
EPYC — Wikipedia,https://en.wikipedia.org/wiki/Epyc,Wiki,arch,1P/2P,"Family overview: Naples/Rome/Milan SP3 vs Genoa/Bergamo/Turin SP5, 1P/2P."
Infinity Fabric — Wikipedia,https://en.wikipedia.org/wiki/Infinity_Fabric,Wiki,arch,1P/2P,Public IF/GMI/xGMI terminology; not a routing guide.
WikiChip Genoa core,https://en.wikichip.org/wiki/amd/cores/genoa,Wiki,arch,1P/2P,Genoa CCD/IOD public block-level description.
WikiChip Infinity Fabric,https://en.wikichip.org/wiki/amd/infinity_fabric,Wiki,arch,1P/2P,IF/GMI/xGMI public interconnect notes.
WikiChip Milan core,https://en.wikichip.org/wiki/amd/cores/milan,Wiki,arch,1P/2P,"Opened WikiChip: EPYC 7003 Milan Zen 3 CCD (1×8-core CCX, 32 MiB L3), SP3 backward-compat with Rome Type-1 boards."
WikiChip Rome core,https://en.wikichip.org/wiki/amd/cores/rome,Wiki,arch,1P/2P,"Opened WikiChip: EPYC 7002 Rome MCM, SP3 FCLGA-4094, 8ch DDR4, 128/160 PCIe, 2P xGMI. Public block-level; not a pin map. WikiChip Bergamo/Siena/SP6 pages are redlinks."
WikiChip Turin core,https://en.wikichip.org/wiki/amd/cores/turin,Wiki,arch,1P/2P,Turin CCD/IOD public block-level description.
Zen 2 — Wikipedia,https://en.wikipedia.org/wiki/Zen_2,Wiki,arch,1P/2P,Zen 2 core public microarchitecture summary used by EPYC 7002 Rome.
Zen 3 — Wikipedia,https://en.wikipedia.org/wiki/Zen_3,Wiki,arch,1P/2P,Zen 3 core public microarchitecture summary used by EPYC 7003 Milan.
Zen 4 — Wikipedia,https://en.wikipedia.org/wiki/Zen_4,Wiki,arch,1P/2P,Zen 4 core / CCD public microarchitecture summary used by EPYC 9004.
Zen 5 — Wikipedia,https://en.wikipedia.org/wiki/Zen_5,Wiki,arch,1P/2P,Zen 5 core public microarchitecture summary used by EPYC 9005.
